date,time,currency,impact,event,actual,forecast,previous,outcome
2023-06-01,12:50am,JPY,yellow,Capital Spending q/y,11.0,6.1,7.7,better
2023-06-01,Tentative,JPY,yellow,Final Manufacturing PMI,50.6,50.8,50.8,
2023-06-01,2:30am,AUD,yellow,Private Capital Expenditure q/q,2.4,1.1,3.0,better
2023-06-01,2:45am,CNY,yellow,Caixin Manufacturing PMI,50.9,49.5,49.5,better
2023-06-01,4:35am,JPY,yellow,10-y Bond Auction,0.44,,0.43,
2023-06-01,7:00am,CHF,yellow,Trade Balance,2.60,3.73,4.53,worse
2023-06-01,7:00am,EUR,yellow,German Retail Sales m/m,0.8,1.0,-1.3,worse
2023-06-01,7:00am,GBP,yellow,Nationwide HPI m/m,-0.1,-0.5,0.4,better
2023-06-01,7:30am,AUD,yellow,Commodity Prices y/y,-22.2,,-19.2,
2023-06-01,7:45am,EUR,yellow,French Gov Budget Balance,-83.7,,-54.7,
2023-06-01,8:15am,EUR,yellow,Spanish Manufacturing PMI,48.4,47.9,49.0,better
2023-06-01,8:30am,CHF,yellow,Gov Board Member Schlegel Speaks,,,,
2023-06-01,8:30am,CHF,yellow,Manufacturing PMI,43.2,44.5,45.3,worse
2023-06-01,8:45am,EUR,yellow,Italian Manufacturing PMI,45.9,45.8,46.8,
2023-06-01,8:50am,EUR,yellow,French Final Manufacturing PMI,45.7,46.1,46.1,worse
2023-06-01,8:55am,EUR,yellow,German Final Manufacturing PMI,43.2,42.9,42.9,
2023-06-01,9:00am,EUR,yellow,Final Manufacturing PMI,44.8,44.6,44.6,
2023-06-01,9:00am,EUR,yellow,Italian Monthly Unemployment Rate,7.8,7.8,7.9,
2023-06-01,9:30am,GBP,yellow,Final Manufacturing PMI,47.1,46.9,46.9,
2023-06-01,9:30am,GBP,yellow,M4 Money Supply m/m,0.0,-0.2,-0.6,better
2023-06-01,9:30am,GBP,yellow,Mortgage Approvals,49,54,51,worse
2023-06-01,9:30am,GBP,yellow,Net Lending to Individuals m/m,0.2,2.2,1.6,worse
2023-06-01,9:59am,EUR,yellow,French 10-y Bond Auction,2.85,,2.83,
2023-06-01,10:00am,EUR,red,CPI Flash Estimate y/y,6.1,6.3,7.0,worse
2023-06-01,10:00am,EUR,orange,Core CPI Flash Estimate y/y,5.3,5.5,5.6,worse
2023-06-01,10:00am,EUR,yellow,Unemployment Rate,6.5,6.5,6.5,
2023-06-01,10:30am,EUR,orange,ECB President Lagarde Speaks,,,,
2023-06-01,12:30pm,EUR,yellow,ECB Monetary Policy Meeting Accounts,,,,
2023-06-01,12:30pm,USD,yellow,Challenger Job Cuts y/y,286.7,,175.9,
2023-06-01,1:15pm,USD,red,ADP Non-Farm Employment Change,278,173,291,better
2023-06-01,1:30pm,USD,red,Unemployment Claims,232,236,230,
2023-06-01,1:30pm,USD,yellow,Revised Nonfarm Productivity q/q,-2.1,-2.6,-2.7,worse
2023-06-01,1:30pm,USD,yellow,Revised Unit Labor Costs q/q,4.2,6.2,6.3,worse
2023-06-01,2:30pm,CAD,yellow,Manufacturing PMI,49.0,,50.2,
2023-06-01,2:45pm,USD,yellow,Final Manufacturing PMI,48.4,48.5,48.5,
2023-06-01,3:00pm,USD,red,ISM Manufacturing PMI,46.9,47.0,47.1,
2023-06-01,3:00pm,USD,orange,ISM Manufacturing Prices,44.2,52.4,53.2,worse
2023-06-01,3:00pm,USD,yellow,Construction Spending m/m,1.2,0.2,0.3,better
2023-06-01,All Day,USD,yellow,Wards Total Vehicle Sales,15.1,15.3,15.9,worse
2023-06-01,3:30pm,USD,yellow,Natural Gas Storage,110,106,96,worse
2023-06-01,4:00pm,USD,yellow,Crude Oil Inventories,4.5,-1.4,-12.5,worse
2023-06-01,6:00pm,USD,orange,FOMC Member Harker Speaks,,,,
2023-06-01,11:45pm,NZD,yellow,Overseas Trade Index q/q,-1.5,-1.5,1.5,
2023-06-02,12:50am,JPY,yellow,Monetary Base y/y,-1.1,-1.4,-1.7,
2023-06-02,7:45am,EUR,yellow,French Industrial Production m/m,0.8,0.3,-1.1,better
2023-06-02,8:00am,EUR,yellow,Spanish Unemployment Change,-49.3,-40.1,-73.9,better
2023-06-02,All Day,EUR,gray,Italian Bank Holiday,,,,
2023-06-02,1:30pm,USD,red,Average Hourly Earnings m/m,0.3,0.3,0.4,
2023-06-02,1:30pm,USD,red,Non-Farm Employment Change,339,193,294,better
2023-06-02,1:30pm,USD,red,Unemployment Rate,3.7,3.5,3.4,worse
2023-06-04,All Day,All,red,OPEC-JMMC Meetings,,,,
2023-06-04,All Day,NZD,gray,Bank Holiday,,,,
2023-06-05,2:00am,AUD,yellow,MI Inflation Gauge m/m,0.9,,0.2,
2023-06-05,2:30am,AUD,yellow,ANZ Job Advertisements m/m,0.1,,-0.3,
2023-06-05,2:30am,AUD,yellow,Company Operating Profits q/q,0.5,2.1,12.7,worse
2023-06-05,2:45am,CNY,yellow,Caixin Services PMI,57.1,55.2,56.4,better
2023-06-05,7:00am,EUR,yellow,German Trade Balance,18.4,16.1,14.9,better
2023-06-05,7:30am,CHF,red,CPI m/m,0.3,0.3,0.0,
2023-06-05,8:15am,EUR,yellow,Spanish Services PMI,56.7,56.9,57.9,
2023-06-05,8:45am,EUR,yellow,Italian Services PMI,54.0,57.0,57.6,worse
2023-06-05,8:50am,EUR,yellow,French Final Services PMI,52.5,52.8,52.8,
2023-06-05,8:55am,EUR,yellow,German Final Services PMI,57.2,57.8,57.8,worse
2023-06-05,9:00am,EUR,yellow,Final Services PMI,55.1,55.9,55.9,worse
2023-06-05,9:30am,EUR,yellow,Sentix Investor Confidence,-17.0,-15.2,-13.1,worse
2023-06-05,9:30am,GBP,yellow,Final Services PMI,55.2,55.1,55.1,
2023-06-05,10:00am,EUR,yellow,PPI m/m,-3.2,-3.0,-1.3,worse
2023-06-05,2:00pm,EUR,orange,ECB President Lagarde Speaks,,,,
2023-06-05,2:45pm,USD,yellow,Final Services PMI,54.9,55.1,55.1,
2023-06-05,3:00pm,EUR,yellow,German Buba President Nagel Speaks,,,,
2023-06-05,3:00pm,USD,red,ISM Services PMI,50.3,52.6,51.9,worse
